payment_id,rental_id,amount,payment_datetime
1,76,2.99,"2005-05-25 11:30:37"
2,573,0.99,"2005-05-28 10:35:23"
3,1185,5.99,"2005-06-15 00:54:12"
4,1422,0.99,"2005-06-15 18:02:53"
5,1476,9.99,"2005-06-15 21:08:46"
6,1725,4.99,"2005-06-16 15:18:57"
7,2308,4.99,"2005-06-18 08:41:48"
8,2363,0.99,"2005-06-18 13:33:59"
9,3284,3.99,"2005-06-21 06:24:45"
10,4526,5.99,"2005-07-08 03:17:05"
11,4611,5.99,"2005-07-08 07:33:56"
12,5244,4.99,"2005-07-09 13:24:07"
13,5326,4.99,"2005-07-09 16:38:01"
14,6163,7.99,"2005-07-11 10:13:46"
15,7273,2.99,"2005-07-27 11:31:22"
16,7841,4.99,"2005-07-28 09:04:45"
17,8033,4.99,"2005-07-28 16:18:23"
18,8074,0.99,"2005-07-28 17:33:39"
19,8116,0.99,"2005-07-28 19:20:07"
20,8326,2.99,"2005-07-29 03:58:49"
21,9571,2.99,"2005-07-31 02:42:18"
22,10437,4.99,"2005-08-01 08:51:04"
23,11299,3.99,"2005-08-02 15:36:52"
24,11367,0.99,"2005-08-02 18:01:38"
25,11824,4.99,"2005-08-17 12:37:54"
26,12250,0.99,"2005-08-18 03:57:29"
27,13068,0.99,"2005-08-19 09:55:16"
28,13176,2.99,"2005-08-19 13:56:54"
29,14762,0.99,"2005-08-21 23:33:57"
30,14825,1.99,"2005-08-22 01:27:57"
31,15298,2.99,"2005-08-22 19:41:37"
32,15315,5.99,"2005-08-22 20:03:46"
33,320,4.99,"2005-05-27 00:09:24"
34,2128,2.99,"2005-06-17 20:54:58"
35,5636,2.99,"2005-07-10 06:31:24"
36,5755,6.99,"2005-07-10 12:38:56"
37,7346,4.99,"2005-07-27 14:30:42"
38,7376,5.99,"2005-07-27 15:23:02"
39,7459,5.99,"2005-07-27 18:40:20"
40,8230,5.99,"2005-07-29 00:12:59"
41,8598,2.99,"2005-07-29 12:56:59"
42,8705,5.99,"2005-07-29 17:14:29"
43,9031,4.99,"2005-07-30 06:06:10"
44,9236,10.99,"2005-07-30 13:47:43"
45,9248,0.99,"2005-07-30 14:14:11"
46,9296,6.99,"2005-07-30 16:21:13"
47,9465,6.99,"2005-07-30 22:39:53"
48,10136,2.99,"2005-07-31 21:58:56"
49,10466,0.99,"2005-08-01 09:45:26"
50,10918,0.99,"2005-08-02 02:10:56"
51,11087,5.99,"2005-08-02 07:41:41"
52,11177,6.99,"2005-08-02 10:43:48"
53,11256,2.99,"2005-08-02 13:44:53"
54,11614,2.99,"2005-08-17 03:52:18"
55,12963,2.99,"2005-08-19 06:26:04"
56,14475,4.99,"2005-08-21 13:24:32"
57,14743,5.99,"2005-08-21 22:41:56"
58,15145,4.99,"2005-08-22 13:53:04"
59,15907,4.99,"2005-08-23 17:39:35"
60,435,1.99,"2005-05-27 17:17:09"
61,830,2.99,"2005-05-29 22:43:55"
62,1546,8.99,"2005-06-16 01:34:05"
63,1726,6.99,"2005-06-16 15:19:10"
64,1911,6.99,"2005-06-17 05:15:15"
65,2628,2.99,"2005-06-19 08:34:53"
66,4180,4.99,"2005-07-07 10:23:25"
67,4725,4.99,"2005-07-08 12:47:11"
68,7096,5.99,"2005-07-27 04:54:42"
69,7503,10.99,"2005-07-27 20:23:12"
70,7703,7.99,"2005-07-28 03:59:21"
71,7724,6.99,"2005-07-28 04:46:30"
72,7911,4.99,"2005-07-28 11:46:45"
73,8086,4.99,"2005-07-28 18:17:14"
74,8545,2.99,"2005-07-29 11:07:04"
75,9226,1.99,"2005-07-30 13:31:20"
76,9443,3.99,"2005-07-30 21:45:46"
77,9595,2.99,"2005-07-31 03:27:58"
78,9816,4.99,"2005-07-31 11:32:58"
79,10597,5.99,"2005-08-01 14:19:48"
80,12556,4.99,"2005-08-18 14:49:55"
81,13403,8.99,"2005-08-19 22:18:07"
82,13610,2.99,"2005-08-20 06:14:12"
83,14699,8.99,"2005-08-21 20:50:48"
84,15038,0.99,"2005-08-22 09:37:27"
85,15619,2.99,"2005-08-23 07:10:14"
86,1297,4.99,"2005-06-15 09:31:28"
87,1633,0.99,"2005-06-16 08:08:40"
88,1707,2.99,"2005-06-16 14:01:27"
89,1735,0.99,"2005-06-16 15:51:52"
90,2043,0.99,"2005-06-17 14:31:12"
91,2642,5.99,"2005-06-19 09:39:01"
92,7660,2.99,"2005-07-28 02:10:10"
93,7718,2.99,"2005-07-28 04:37:59"
94,8741,3.99,"2005-07-29 18:44:57"
95,9100,5.99,"2005-07-30 08:46:09"
96,9371,5.99,"2005-07-30 18:58:00"
97,11069,0.99,"2005-08-02 07:09:34"
98,11110,2.99,"2005-08-02 08:20:31"
99,11529,4.99,"2005-08-17 00:28:01"
100,12151,2.99,"2005-08-18 00:14:03"
101,12294,8.99,"2005-08-18 05:14:44"
102,12856,1.99,"2005-08-19 02:19:13"
103,13704,2.99,"2005-08-20 09:32:04"
104,13807,6.99,"2005-08-20 12:55:40"
105,14225,4.99,"2005-08-21 04:53:37"
106,15147,2.99,"2005-08-22 13:58:23"
107,15635,1.99,"2005-08-23 07:43:00"
108,731,0.99,"2005-05-29 07:25:16"
109,1085,6.99,"2005-05-31 11:15:43"
110,1142,1.99,"2005-05-31 19:46:38"
111,1502,3.99,"2005-06-15 22:03:14"
112,1631,2.99,"2005-06-16 08:01:02"
113,2063,4.99,"2005-06-17 15:56:53"
114,2570,2.99,"2005-06-19 04:20:13"
115,3126,4.99,"2005-06-20 18:38:22"
116,3677,4.99,"2005-07-06 09:11:58"
117,4889,2.99,"2005-07-08 20:04:43"
118,5016,4.99,"2005-07-09 01:57:57"
119,5118,5.99,"2005-07-09 07:13:52"
120,5156,1.99,"2005-07-09 08:51:42"
121,5721,0.99,"2005-07-10 11:09:35"
122,6042,8.99,"2005-07-11 03:17:04"
123,6663,3.99,"2005-07-12 11:27:35"
124,6685,4.99,"2005-07-12 12:16:28"
125,7293,0.99,"2005-07-27 12:37:28"
126,7652,0.99,"2005-07-28 01:50:29"
127,7829,3.99,"2005-07-28 08:43:39"
128,8263,2.99,"2005-07-29 01:11:23"
129,8978,1.99,"2005-07-30 04:14:28"
130,9493,4.99,"2005-07-30 23:52:30"
131,9888,3.99,"2005-07-31 14:00:53"
132,10609,4.99,"2005-08-01 14:48:45"
133,10625,0.99,"2005-08-01 15:27:10"
134,11001,4.99,"2005-08-02 04:56:45"
135,11179,4.99,"2005-08-02 10:50:06"
