propertyName,pricing,tenure,propertyType,propertySQFT,furnishStatus,numBedroom,numBathroom
"Taman Cheras Awana, Cheras",80000,Freehold,Apartment,507,Unfurnished,2 ,1 
"The Elements, Ampang Hilir",800000,Freehold,Condominium,1572,Semi Furnished,4 ,3 
"Tiffani Kiara, Mont Kiara",1230000,Freehold,Condominium,1641,Fully Furnished,4 ,3 
"Kiaraville, Mont Kiara",2800000,Freehold,Condominium,3982,Semi Furnished,6 ,6 
"Kenny Heights Estate, Kenny Heights",3700000,Freehold,Land,5230,Fully Furnished,0 ,0 
"Sunway Mont Residences, Mont Kiara",1000000,Freehold,Condominium,1122,Semi Furnished,3 ,2 
"Pavilion Hilltop, Mont Kiara",1650000,Freehold,Condominium,1496,Fully Furnished,3 ,3 
"Sentul Utama Condominium, Sentul",330000,Freehold,Condominium,853,Semi Furnished,3 ,2 
"OG Heights, Old Klang Road",368000,Freehold,Condominium,980,Semi Furnished,3 ,1 
"The Elements, Ampang Hilir",500000,Freehold,Condominium,705,Fully Furnished,1 ,1 
"VERVE Suites, Mont Kiara",1100000,Freehold,Condominium,926,Fully Furnished,2 ,2 
"8th & Stellar, Sri Petaling",500000,Leasehold,Serviced Residence,711,Semi Furnished,1 ,2 
"Plaza Damas 3, Sri Hartamas",5890000,Freehold,Shop,2950,Semi Furnished,N / A,N / A
"Razak City Residences, Sungai Besi",358000,Freehold,Land,800,Fully Furnished,3 ,3 
"Taman Desa Aman, Cheras",1950000,Freehold,Shop,4950,Semi Furnished,6 ,6 
"The Scott Garden, Old Klang Road",3300000,Freehold,Shop,6033,Semi Furnished,N / A,N / A
"Titiwangsa Sentral, Titiwangsa",2900000,Freehold,Shop,7874,Unfurnished,N / A,N / A
"Jalan Tuanku Abdul Rahman, Chow Kit",15000000,Freehold,Shop,9600,Unfurnished,N / A,N / A
"288 Residency, Setapak",468000,Freehold,Condominium,1408,Semi Furnished,4 ,3 
"Riana Green East, Wangsa Maju",1600000,Freehold,Condominium,3600,Semi Furnished,4 + 1,4 
"Seasons Garden Residences, Wangsa Maju",580000,Freehold,Serviced Residence,850,Semi Furnished,3 + 1,2 
"Riana Green East, Wangsa Maju",1800000,Freehold,Condominium,3600,Semi Furnished,4 + 1,5 
"The Parc Tower, Setapak",510030,Freehold,Condominium,1100,Semi Furnished,3 ,2 
"Damaisari, Wangsa Maju",2900000,Freehold,Bungalow,5500,Unfurnished,7 + 1,7 + 1
"The Holmes, Bandar Tun Razak",465000,Freehold,Condominium,1018,Unfurnished,3 ,2 
"Taman Ikhlas, Bandar Tun Razak",709000,Leasehold,Terrace,1650,Unfurnished,4 ,3 
"Aria, KLCC",1000000,Freehold,Condominium,630,Fully Furnished,1 ,0 
